磁极|cíjí|NOUN magnetic pole
风范|fēngfàn|NOUN LITERARY 1&#9;demeanour; bearing; poise 2&#9;style; manner; air &#26377;&#22823;&#23478;&#39118;&#33539; y&#466;u d&#224;ji&#257; f&#275;ngf&#224;n have the air of a great master; have refined ma
柔术|róushù|NOUN SPORTS jujitsu
世外桃源|shìwài-táoyuán|IDIOM Land of Peach Blossoms&#8212;haven of peace; Shangri-La; otherworld
小抄|xiǎochāo|1&#9;cheat sheet 2&#9;crib sheet
蒙羞|méngxiū|1&#9;to be shamed 2&#9;to be humiliated
内啡肽|nèifēitài|endorphin
鄙薄|bǐbó|LITERARY VERB despise; scorn &#19981;&#24212;&#37145;&#34180;&#20307;&#21147;&#21171;&#21160;&#12290; b&#249;y&#299;ng b&#464;b&#243; t&#464;l&#236; l&#225;od&#242;ng. One should not despise physical 
退房|tuìfáng|to check out of a hotel room
解数|xièshù|NOUN 1&#9;postures in martial arts 2&#9;skill; art; competence &#20351;&#20986;&#27985;&#36523;&#35299;&#25968; sh&#464;ch&#363; h&#250;nsh&#275;n xi&#232;sh&#249; use all one&#8217;s skill; do all th
无力感|wúlìgǎn|1&#9;feeling of powerlessness 2&#9;sense of helplessness
油门|yóumén|NOUN 1&#9;throttle 2&#9;COLLOQUIAL accelerator &#27833;&#38376;&#36367;&#26495; y&#243;um&#233;n t&#224;b&#462;n accelerator pedal &#36393;&#27833;&#38376; C&#462;i y&#243;um&#233;n step on the accele
注目礼|zhùmùlǐ|salute with eyes
酒保|jiǔbǎo|NOUN DATED bartender; barkeeper
对簿公堂|duìbùgōngtáng|be interrogated in court; go to court
歌坛|gētán|NOUN the circle of singers; singing circles &#27468;&#22363;&#26032;&#31168; g&#275;t&#225;n x&#299;nxi&#249; new singing star
判罚|pànfá|VERB penalize &#29699;&#38431;&#22240;&#25925;&#24847;&#25302;&#24310;&#26102;&#38388;&#32780;&#34987;&#21028;&#32602;&#12290; Qi&#250;du&#236; y&#299;n g&#249;y&#236; tu&#333;y&#225;n sh&#237;ji&#257
诚信|chéngxìn|ADJECTIVE honest and trustworthy &#35762;&#35802;&#20449; ji&#462;ng ch&#233;ngx&#236;n honor credibility &#20570;&#29983;&#24847;&#24212;&#20197;&#35802;&#20449;&#20026;&#26412;&#12290; zu&#242; sh&#
回形针|huíxíngzhēn|NOUN paper clip
害臊|hài//sào|ADJECTIVE COLLOQUIAL feel ashamed; be bashful; be shy &#26367;&#20182;&#23475;&#33226; t&#236; t&#257; h&#224;is&#224;o be ashamed of him &#30495;&#19981;&#23475;&#33226;&#65281; Zh&#275;n b&#249; h&#
并购|bìnggòu|VERB merge; acquire &#20320;&#20204;&#30340;&#24182;&#36141;&#31574;&#30053;&#22914;&#20309;&#65311; N&#464;men deb&#236;ngg&#242;u c&#232;l&#252;&#232; r&#250;h&#233;? What are your acquisition strat
没齿不忘|mòchǐ-bùwàng|IDIOM will never forget to the end of one's days; remember for the rest of one's life
死记硬背|sǐjìyìngbèi|memorize mechanically; learn by rote; learn without comprehension
秀恩爱|xiù'ēn'ài|to make a public display of affection
走向|zǒuxiàng|NOUN 1&#9;run; trend; alignment &#28023;&#23736;&#32447;&#36208;&#21521; h&#462;i'&#224;nxi&#224;n z&#466;uxi&#224;ng the trend of the coastline &#30719;&#33033;&#30340;&#36208;&#21521; Ku&#224;ngm&#2
确凿|quèzáo|ADJECTIVE conclusive; authentic; irrefutable &#30830;&#20991;&#30340;&#20107;&#23454; Qu&#232;z&#225;o de sh&#236;sh&#237; irrefutable facts &#35777;&#25454;&#30830;&#20991;, &#19981;&#23481;&#25269;&
助阵|zhùzhèn|VERB boost the morale of; cheer (for) &#32473;&#25105;&#20204;&#30340;&#31726;&#29699;&#38431;&#21161;&#23041; g&#283;i w&#466;men de l&#225;nqi&#250;du&#236; zh&#249;w&#275;i cheer for our basketball
戎装|róngzhuāng|NOUN LITERARY martial attire; military uniform
阅兵式|yuèbīngshì|military review; parade
俗气|súqi|ADJECTIVE vulgar; in poor taste &#20439;&#27668;&#30340;&#34920;&#36798; s&#250;qi de bi&#462;od&#225; insipid wording &#22905;&#31359;&#24471;&#24456;&#20439;&#27668;&#12290; T&#257; chu&#257;n de h&
退一步,海阔天空|tuìyībù,hǎikuòtiānkōng|ID. Compromise will make a conflict much easier to solve.
浸润|jìnrùn|VERB 1&#9;soak; infiltrate &#26149;&#38632;&#28024;&#28070;&#30528;&#30000;&#37326;&#12290; Ch&#363;ny&#468; j&#236;nr&#249;n zhe ti&#225;ny&#283;. The spring rain is soaking into the fields. 2&#9;MED
斤斤计较|jīnjīn-jìjiào|IDIOM haggle over every ounce&#8212;be calculating &#26020;&#26020;&#35745;&#36739;&#20010;&#20154;&#24471;&#22833; j&#299;nj&#299;nj&#236;ji&#224;o g&#232;r&#233;n d&#233;-sh&#299; preoccupied with p
容人|róng//rén|VERB regard people with kindly tolerance; tolerant towards others; magnanimous; broad-minded &#20182;&#24515;&#33016;&#29421;&#31364;, &#23481;&#19981;&#19979;&#20154;&#12290; T&#257; x&#299;nxi&#333;
妖孽|yāoniè|NOUN LITERARY 1&#9;person or event associated with evil or misfortune 2&#9;monster; evil spirit; bogy; demon 3&#9;evildoer
换代|huàndài|VERB replace; regenerate &#20135;&#21697;&#26356;&#26032;&#25442;&#20195; Ch&#462;np&#464;n g&#275;ngx&#299;nhu&#224;nd&#224;i replace older generations of products by new ones
焕然一新|huànrán-yīxīn|IDIOM take on an entirely new look (or aspect); look brand-new &#32463;&#36807;&#25913;&#24314;, &#32769;&#28207;&#38754;&#35980;&#28949;&#28982;&#19968;&#26032;&#12290; J&#299;nggu&#242; g&#462;iji&#
卡司|kǎsī|(acting) cast (loanword)
音高|yīngāo|NOUN LINGUISTICS MUSIC pitch
引流|yǐnliú|NOUN MEDICINE drainage &#21313;&#20108;&#25351;&#32928;&#24341;&#27969; sh&#237;'&#232;rzh&#464;ch&#225;ng y&#464;nli&#250; duodenal drainage
部落格|bùluògé|blog (loanword) (Tw)
直呼|zhíhū|to say straightforwardly
大动肝火|dàdòng-gānhuǒ|IDIOM fly into a rage; be furious; be very angry
功勋|gōngxūn|NOUN exploit; meritorious service &#21151;&#21195;&#21331;&#33879; g&#333;ngx&#363;n zhu&#243;zh&#249; notable exploits &#31435;&#19979;&#19981;&#26429;&#21151;&#21195; L&#236;xia b&#249;xi&#468; g&#3
暴发户|Bàofāhù|upstart; nouveau riche
佳节|jiājié|NOUN happy festival time; festival &#20013;&#31179;&#20339;&#33410; Zh&#333;ngqi&#363; ji&#257;ji&#233; the joyous Mid-Autumn Festival &#27426;&#24230;&#22269;&#24198;&#20339;&#33410; hu&#257;nd&#249;
官网|guānwǎng|official website (abbr. for gu&#257;nf&#257;ngw&#462;ngzh&#224;n [&#23448;&#26041;&#32593;&#31449;])
奖券|jiǎngquàn|NOUN lottery ticket
推掉|tuīdiào|R.V. decline with an excuse
伪科学|wěikēxué|NOUN pseudoscience
婉拒|wǎnjù|VERB graciously decline; politely turn down; excuse oneself from
芬芳|fēnfāng|ADJECTIVE sweet-smelling; fragrant &#33452;&#33459;&#30340;&#33457;&#26421; f&#275;nf&#257;ng de hu&#257;du&#466; sweet-smelling flowers NOUN sweet smell; fragrance &#29611;&#29808;&#30340;&#33452;&#3
淡雅|dànyǎ|ADJECTIVE simple but elegant; quietly elegant; unadorned and in good taste &#34915;&#30528;&#28129;&#38597; Y&#299;zhu&#243; d&#224;ny&#462; be tastefully dressed in a simple style; be dressed with so
掺假|chān//jiǎ|VERB adulterate &#25530;&#20551;&#33647;&#29289; ch&#257;nji&#462; y&#224;ow&#249; adulterated medicine &#25530;&#20551;&#39135;&#21697; ch&#257;nji&#462; sh&#237;p&#464;n adulterated food &#25530;&#2
便携|biànxié|ADJECTIVE portable
撮|cuō|VERB 1&#9;scoop up (with a dustpan or shovel) &#25774;&#36215;&#19968;&#31800;&#31637;&#22303; cu&#333; q&#464; y&#299; b&#242;ji t&#468; scoop up a dustpan of dirt 2&#9;DIALECT pick up or hold (dust,
锤炼|chuíliàn|VERB 1&#9;hammer into shape 2&#9;temper (or steel) oneself 3&#9;(of an artist, writer, etc.) try to perfect one's skill (or technique) by strenuous effort; hammer out; polish &#38180;&#28860;&#35789;&
眼花|yǎn//huā|ADJECTIVE have dim eyesight; have blurred vision &#32819;&#19981;&#32843;&#30524;&#19981;&#33457; &#282;r b&#249; l&#243;ng y&#462;n b&#249; hu&#257; (of an old person) be neither hard of hearing nor 
蹙|cù|LITERARY VERB knit (one's brows) &#36441;&#39069; c&#249;'&#233; knit one&#8217;s brows; frown ADJECTIVE pressed; cramped &#31351;&#36441; qi&#243;ngc&#249; in dire straits
关卡|guānkǎ|1&#9;checkpoint (for taxation, security etc) 2&#9;(fig.) barrier; hurdle; red tape M: d&#224;o [&#36947;] 3&#9;Taiwan pr. [gu&#257;nk&#462;]
铁律|tiělǜ|NOUN iron discipline (or rule)
作用|zuòyòng|NOUN 1&#9;action; function &#21270;&#23398;&#20316;&#29992; hu&#224;xu&#233; zu&#242;y&#242;ng chemical action &#24515;&#33039;&#30340;&#20316;&#29992; x&#299;nz&#224;ng de zu&#242;y&#242;ng the funct
塔罗牌|tǎluópái|tarot card
丰硕|fēngshuò|ADJECTIVE (of fruit) plentiful and substantial; rich &#20016;&#30805;&#30340;&#26524;&#23454; f&#275;ngshu&#242; de gu&#466;sh&#237; big and plentiful fruit &#21462;&#24471;&#20016;&#30805;&#30340;&#2
复查|fùchá|VERB check again; re-examine &#19968;&#20010;&#26376;&#21518;&#21040;&#21307;&#38498;&#22797;&#26597;&#12290; Y&#299; ge yu&#232; h&#242;u d&#224;o y&#299;yu&#224;n f&#249;ch&#225;. Come back to the h
通敌|tōng//dí|VERB collude (or collaborate) with the enemy; have illicit relations with the enemy
名不副实|míngbùfùshí|IDIOM The name falls short of the reality. or be sth. more in name than in reality &#19968;&#20010;&#21517;&#19981;&#21103;&#23454;&#30340;&#23398;&#32773; y&#299; ge m&#237;ngb&#249;f&#249;sh&#237; d
人脸识别|rénliǎnshíbié|1&#9;(computing) facial recognition 2&#9;(cognitive pyschology) face perception
刚烈|gāngliè|ADJECTIVE fiery and forthright; upright and unyielding
