専修|せんしゅう|Specialization
手直し|てなおし|Correction / Adjustment / Tweaking / Improvement / Minor alteration
二の次|のにのつぎ|Secondary / Subordinate
短気|たんき|short temper
脱退|だったい|Secession / Retirement / Withdrawel
フィックスは息を切らし、髪もバサバサだった|は いきを きらし かみもだった|Fix was out of breath, and his hair was in disorder
管|かん|Tube / Pipe / Channel
名前は五十音順に並んでいます。|なまえは ごじゅうおんじゅんに ならんでいます|The names are arranged in the order of the Japanese syllabary.
縦書き|たてがき|Vertical writing
不治の病|のふじのやまい|Incurable illness
にこやか|にこやか|Smiling / Beaming
お払い箱|お いはらいばこ|Discarding / Firing (an employee)
