密輸|みつゆ|Smuggling
そのニュースは紙面の下の方に出ていた|そのは しめんの したの ほうに でていた|The news appeared at the bottom of the newspaper page
自信家|じしんか|person who has great confidence (faith) in himself
彼の家柄は武士でした。|かれの いえがらは ぶしでした|He's from a samurai family.
電力供給|でんりょくきょうきゅう|Power supply / Power distribution
極細|ごくぼそ|Superfine
血糖|けっとう|blood sugar
彼女は強気な女性ですね。|かのじょは つよきな じょせいですね|She's a tough woman.
あぐら|あぐら|Sit cross legged
優遇する|ゆうぐうする|To give X good treatment / to treat well
吹っ飛ぶ|っふっとぶ|to blow off; to be blown off
古き良き時代|ふるき よき じだい|the good old days
死傷者|ししょうしゃ|Casualty
産地|さんち|Production Center
両親の健康を案じる|りょうしんの けんこうを あんじる|To worry about parents health (not 心配)
運転の実技試験|うんてんの じつぎ しけん|A driving test
白黒|しろくろ|Black and white (picture, tv show etc)
肩の力を抜く|かたの ちからを ぬく|to let the tension out of one's shoulders; to relax; to not take oneself too ser
