細目|ほそめ|Detail / Particular
ないことには　ー＞　なければ　＝　同じ|ないことにはなければ おなじ|ないことには　ー＞　なければ　＝　同じ
集中治療室|しゅうちゅうちりょうしつ|Intensive care unit
包み紙|みつつみがみ|Wrapping paper
世界保健機関|せかいほけんきかん|World Health Organisation (Also written as 'WHO' in Japanese too)
黒ずむ|くろずむ|to blacken, to darken
何十|なん|several tens
やがて彼は高名な学者になった|やがて かれは こうみょうな がくしゃになった|He became a famous scholar before long
米|べい|Rice
明らか|あきらか|Obvious / Clear / Evident / Plain
彼は仕事が長続きしません。|かれは しごとが ながつづきしません|He can't keep a job for long.
幾多|いくた|Many / Numerous
統治(する)|とうちする|To rule / reign (SF3)
影響|えいきょう|Influence
通行止め|つうこうどめ|road closed
酒臭い|さけ くさい|Reek of liquor
近代医学の進歩は長い道程を歩んだ。|きんだい いがくの しんぽは ながい どうていを あゆんだ|The advancement of modern medicine was a long process.
名称|めいしょう|Unbelievably, another word for &quot;name&quot; (or &quot;denomination&quot;)
強盗は屋根からあの邸宅に入ったに違いない。|ごうとうは やねからあの ていたくに はいったに ちがいない|The cat burglar must have entered the mansion from the roof
自説を固執する|じせつを こしつする|to hold fast to one's opinion
くどい|くどい|Wordy / Lengthy
あまりにうるさかったので耳を塞いだわ。|あまりにうるさかったので みみを ふさいだわ|I blocked my ears as it was too noisy.
報う|むくう|To reward / To recompense / To repay
開廷|かいてい|court session; trial
貸切|かしきり|Reserved / Reservation
一打|いちだ|stroke, blow
罠に嵌る|わなに はまる|Fall into a trap
あの歌手は3部門で賞を取ったの。|あの かしゅは  ぶもんで しょうを とったの|That singer took the prize in three categories.
授賞式|じゅしょうしき|award ceremony (eg oscars)
この商品はトラックで輸送します。|この しょうひんはで ゆそうします|These goods are transported by truck.
協会|きょうかい|Association / Society
あの男は裏切りもしかねない。|あの おとこは うらぎりもしかねない|He is capable of treachery.
小説|しょうせつ|Novel
時間を空ける|じかんを あける|To make time (for someone, for something)
猿真似|さるまね|indiscriminate imitation; monkey see, monkey do; blind follower
悪い人のような気がしました|わるい ひとのような きがしました|I felt that he was a bad person
ペンキ||Paint
部屋の明かりを点けましょう。|へやの あかりを つけましょう|Let's turn on the room light.
社外|しゃがい|Outside the firm
チューリップは茎が長いです。|は くきが ながいです|The tulip's stalk is long.
奇襲する|きしゅうする|Suprise attack
発火|はっか|Combustion / Ignition
火薬|かやく|Gunpowder
髪を整える|かみを ととのえる|To tidy up ones hair
長引く|ながびく|Linger / Drag on
母国|ぼこく|Ones home country
その会社はリサイクルを推進してるね。|その かいしゃはを すいしんしてるね|The company is promoting recycling.
そのやまは海抜２千メートルだ。|そのやまは かいばつ せんだ|The mountain is 2000 meters above sea level
不屈の精神|ふくつの せいしん|an indomitable spirit
