植物園|しょくぶつえん|Botanical garden
深刻|しんこく|Serious / Somber / Grave / Severe
この曲は誰が作曲したのですか。|この きょくは だれが さっきょくしたのですか|Who composed this tune?
手勢|てぜい|Ones troops (I wonder when I can ever use this in real life)
この会社の売り上げは昨年の2倍ね。|この かいしゃの りうりあげは さくねんの  ばいね|Sales of the company have doubled from last year.
彼はバットの振りが大きすぎる。|かれはの ふりが おおきすぎる|He swings the bat too wide.
急ぐ必要はない. 時間はふんだんにある|いそぐ ひつようはない じかんはふんだんにある|There's no rush. We have plenty of time
シチューが焦げたよー。|が こげたよ|The stew burnt.
もし水がなければ、人間は存続できないだろう|もし みずがなければ にんげんは そんぞくできないだろう|If it were not for water, humans could not survive
彼女はとても勇敢でした。|かのじょはとても ゆうかんでした|She was very brave.
必勝法|ひっしょうほう|Winning Strategy
公用|こうよう|Government Business / Official Business
立ち話|ちたちばなし|Standing around talking
彼は数々の名作を生み出した。|かれは かずかずの めいさくを みうみだした|He produced a number of masterpieces.
彼は後方の座席に着いたの。|かれは こうほうの ざせきに ついたの|He sat down on a rear seat.
性欲|せいよく|Lust
真新しい|まあたらしい|brand new
砂糖の分量を間違えました|さとうの ぶんりょうを まちがえました|I made a mistake in the amount of sugar
今日は私が掃除の当番です。|きょうは わたしが そうじの とうばんです|I'm in charge of the cleaning today.
薬剤|やくざい|medicine; drug
腰|こし|Hips / Waist
小数点以下は切り捨てています|しょうすうてん いかは りきりすてています|It is rounded off to the decimal point
というと　ー＞　 Speaking of|というと|というと　ー＞　 Speaking of
