後天的|こうてんてき|Acquired / Learned
ほっつき歩く|ほっつき あるく|to loiter around; to wander about
調味料|ちょうみりょう|Seasoning (food)
緑豊か|みどりゆたか|Lushly green
近くで小火があったらしい|ちかくで ぼやがあったらしい|Apparently there was a small fire in the vicinity
選手たちは必死で踏ん張った|せんしゅたちは ひっしで んふんばった|The players made a last desperate effort
癇癪を起こす|かんしゃくを おこす|to lose one's temper, to throw a tantrum
君は計画を遣り通さなければならない。|きみは けいかくを やり とおさなければならない|You must go through with your plan
駆け出し|けかけだし|Novice / Fledgeling
自主隔離|じしゅ かくり|self-isolation
吊るす|つるす|To hang (up a swing?)
呼吸器|こきゅうき|Respiratory organs
報われる|むくわれる|To be rewarded
変質者|へんしつしゃ|degenerate / pervert / deviate
