日々|ひび|daily, every day
毎日忙しいので、夜９時以降にしか帰宅できない。|まいにち いそがしいので よる じ いこうにしか きたくできない|Because everyday is busy, cant go home until 9pm or later
湖を眺める|みずうみを ながめる|Gaze [look upon] the lake
神父|しんぷ|Catholic Priest
彼女たちはおしゃべりに夢中です。|かのじょたちはおしゃべりに むちゅうです|Those women are absorbed in their conversation.
今日は8チームが出場しました。|きょうは が しゅつじょうしました|Eight teams participated today.
邪魔する|じゃまする|To intrude
愛国心にかこつけて多くの殺人が行われてきた。|あいこくしんにかこつけて おおくの さつじんが おこなわれてきた|Many murders have been committed using the excuse of patriotism.
活力|かつりょく|Energy
腹の立つことに。。|はらの たつことに|Maddeningly ...
鬼ごっこ|おにごっこ|Game of tag
解釈|かいしゃく|Interpretation / Explanation
欠く|かく|To lack
消費する|しょうひする|To consume / spend
結婚願望|けっこんがんぼう|Desire for marriage
境界線|きょうかいせん|Boundary line
参考になる|さんこうになる|To be of use as a reference
即答する|そくとうする|To reply immediately / do an immediate reply
慰安婦|いあんふ|(euphemism) (See 従軍慰安婦) women working in military brothels (esp. those forced in
