動詞|どうし|Verb
昼食|ちゅうしょく|昼ご飯
日本へ行けるようにお金をためています|にっぽんへ いけるようにお かねをためています|I am saving money so that I can go to Japan
財政危機|ざいせいきき|Financial crisis / Economic crisis
建造|けんぞう|Building / Construction
地下道を通って行きましょう。|ちかどうを とおって いきましょう|Let's go through the underpass.
難産|なんざん|difficult delivery, difficult childbirth, dystocia
湾曲|わんきょく|curve; bend; crook
彼は寂しげに、一人で公園のベンチに座っていた|かれは さびしげに にんで こうえんのに すわっていた|He seemed very lonely sitting on his own on a park bench
富士山は、いつ見てもきれいです|ふじさんはいつ みてもきれいです|Mt. Fuji is beautiful no matter when we look at it
今日は沿岸の波が荒いでしょう。|きょうは えんがんの なみが あらいでしょう|The waves on the coast will be rough today.
彼は軍事に関わる仕事を続けてきたんだ。|かれは ぐんじに かかわる しごとを つづけてきたんだ|He kept working in a job related to military affairs.
鳴く|なく|鳥や動物（どうぶつ）が声を出すこと
盗塁|とうるい|Steal base (baseball)
取調べ|とりしらべ|Investigation (by police or prosecutors)
天然（の）|てんねんの|Natural / Native
少数|しょうすう|Small number / minority
二酸化炭素|さんかたんそ|CO2 (gas)
けち（な）|けちな|Stingy / Cheap
美しさを定義してください。|うつくしさを ていぎしてください|Please define beauty.
子供に昔話を聞かせてあげたの。|こどもに むかしばなしを きかせてあげたの|I read a story to the children.
旅装|りょそう|travelling clothes; traveling clothes; travelling outfit; traveling outfit
夏休みには海水浴に行きます。|なつやすみには かいすいよくに いきます|I go to swim in the sea during the summer.
