食器|しょっき|Tableware / Dinner set
動作|どうさ|Movement / Action
彼はこの国に平和をもたらしたのよ。|かれはこの くにに へいわをもたらしたのよ|He brought peace to this country.
空港|くうこう|Airport
この映画は怖いそうですね、題名からして怖そうですね|この えいがは こわいそうですね だいめいからして こわそうですね|This film seems scary. Even the title sounds scary huh
巣|す|Nest / Den
くノ一|く のいち|Female Ninja
来月大阪に支社を開設します。|らいげつ おおさかに ししゃを かいせつします|A branch office will be established in Osaka next month.
盗聴器|とうちょうき|a Bug (eavesdropping device)
庭があるといっても猫の額ほどです。|にわがあるといっても のねこのひたいほどです|Saying that there is a garden, it is about amount of the cat (means really small
私が日本語を勉強し始めたのは一年前です|わたしが にほんごを べんきょうし はじめたのは いちねんまえです|It was a year ago that I started studying Japanese
この映画は教育上良くない。|この えいがは きょういく じょう よくない|from an educational point of view this film is not good
泣き叫ぶ|きなきさけぶ|to cry and shout; to scream
政治の体制を変える必要があります。|せいじの たいせいを かえる ひつようがあります|It's necessary to change the political system.
生き方|きいきかた|Way of life / lifestyle
本当のことを言うよりしかたなかった|ほんとうのことを いうよりしかたなかった|I had no alternative but to tell the truth
値上げ|ねあげ|Price hike
海上|かいじょう|Maritime
穴|あな|Hole
国立〜|こくりつ|National ~
私は両親から多くを教わりました。|わたしは りょうしんから おおくを おそわりました|I learned a lot from my parents.
凶器|きょうき|Weapon, not 武器
欄|らん|column, field
文化財|ぶんかざい|Cultural assets
大きい問題なのに、あの人は誰にも相談しない|おおきい もんだいなのにあの ひとは だれにも そうだんしない|It is a big issue, but he does not consult with anybody
