驚異|きょうい|Wonder / Miracle
その問題は当分棚上げだ。|その もんだいは とうぶん たなあげだ|That problem has been shelved for the time being.
枝分かれ|えだわかれ|ramification, branching off
提訴|ていそ|Presenting a case / Suing
石ころ|いしころ|stone, rock, pebble
継続は力なり|けいぞくは ちからなり|perseverance makes one stronger, slow but steady wins the race
異教徒|いきょうと|1. pagan, heretic, heathen2. 異教徒
喫煙|きつえん|Smoking
生きがい|いきがい|Purpose in life
彼女は額に黒子があります|かのじょは ひたいに ほくろがあります|She has a mole on her forehead
石膏|せっこう|plaster; gypsum; calcium sulphate (so plaster for a wall)
少尉|しょうい|second lieutenant
嘘偽り|うそいつわり|lies and falsehoods
踏み外す|みふみはずす|To miss ones footing
悪寒|おかん|Chill
受賞|じゅしょう|Winning (a prize)
遮音|しゃおん|Soundproofing / Sound insulation
戦く|おののく|to shake (from fear, cold, excitement, etc.); to shudder; to tremble
競う|きそう|Contend / Compete
作り物|りつくりもの|Artificial product / Decoration / Fake
日常茶飯事|にちじょうさはんじ|Everyday occurrence
自制|じせい|self control, self restraint
なり|なり|As soon as (similar to が早いが、や否や、とたんに) 2 hiragana characters
四散|しさん|Scattering (in all directions)
打ち合わせ|ちうちあわせ|Meeting / Arrangement (another iknow word)
周波数|しゅうはすう|Frequency of waves -- ie, why my TV cant tune to the channels properly
荷物が重くて手がちぎれそうだ。|にもつが おもくて てがちぎれそうだ|My luggage is so heavy, it feels as if my arm could tear off.
存続|そんぞく|Continuance / Duration
斬り付ける|きり つける|To cut at / To slash at
大木|たいぼく|Large tree
汲み出す|みくみだす|To pump out (water etc)
鯔背（な）|いなせな|Gallant / Dashing / Smart
裂傷|れっしょう|Laceration
影を投げる|かげを なげる|to project a shadow; to cast a shadow
保活|ほかつ|kindergarten hunting
維持する|いじする|To maintain / preserve (ie lifestyle)
取り掛かる|りとりかかる|To begin / To set about / To start
肌寒い|はださむい|Chilly
廃絶|はいぜつ|Abolition
何食わぬ顔|なに くわぬ かお|Innocent look
親睦|しんぼく|Friendliness / Social&nbsp;
謀殺|ぼうさつ|premeditated murder; deliberate murder; willful murder
一覧済み|いちらんずみ|listed
屈める|かがめる|To stoop / To bend
清掃動物|せいそう どうぶつ|Scavanger
名状しがたい|めいじょうしがたい|Beyond description / 言葉では言い表せないほど
退転|たいてん|backsliding
異名|いみょう|1. another name, nickname, alias2. synonym (taxonomy)3. 別名, 别名, 化名
お酒をお注ぎしましょう。|お さけをお そそぎしましょう|Let me pour you a drink.
吹聴|ふいちょう|Making public announcing / Spreading a rumour
遠巻き|とおまき|Surrounding at a distance
推敲|すいこう|Polishing / Refinement
象牙|ぞうげ|ivory
気が焦る|きが あせる|To be impatient
住み分ける|すみ わける|to differentiate; to segregate
古生物学|こせいぶつがく|paleontology
墓地|ぼち|Graveyard
惨めな|みじめな|Miserable / Wretched / Sad
