漁獲量|ぎょかくりょう|Haul (catch) of fish
その女の子は母親を見るやいなやわっと泣き出した。|その のおんなのこは ははおやを みるやいなやわっと なき だした|The instant the girl saw her mother, she burst out crying.&nbsp;&nbsp;
禁輸|きんゆ|Embargo
個人|こじん|Individual ~
熟語|じゅくご|Idiom / Phrase
基本的人権|きほんてきじんけん|Basic human rights
素泊まり|すどまり|Staying overnight without meals
口実|こうじつ|An excuse / pretext / alibi / pretense
体躯|たいく|The body / stature / physique / constitution
気高い節操|けだかい せっそう|noble integrity
煙突|えんとつ|Chimney
半神|はんしん|demigod
裸|はだか|Naked
派遣|はけん|dispatch, sending
流れ星|れながれぼし|Shooting star / Meteor
総会|そうかい|General Meeting / General Assembly
守り神|りまもりがみ|Guardian Deity
終値|おわりね|Closing price (stock exchange etc)
引っ込む|っひっこむ|Draw back / pull in
チンピラ||Small time yakuza / (young) hoodlum
激しい|はげしい|Violent / Severe / Intense
特使|とくし|Special envoy
金属|きんぞく|Metal
老いる|おいる|To age / To grow old
公転速度|こうてんそくど|orbital speed
休暇|きゅうか|Holiday Vacation
適齢|てきれい|Suitable age
彼女は手紙をびりびりに破いた|かのじょは てがみをびりびりに やぶいた|She tore the letter to pieces
女帝|にょてい|empress
面当て|つらあて|spiteful remarks
肘掛いすに腰掛ける。|ひじかけいすに こしかける|Sit in an armchair
陸上|りくじょう|land, shore
背景音楽|はいけいおんがく|Background music
暈かす|ぼかす|To shade off / To obscure (the lines!)
静寂|せいじゃく|Silence / Stillness / Quietness
彼は大蔵省に勤務しているんだよ。|かれは おおくらしょうに きんむしているんだよ|He works for the Ministry of Finance
先頃の会談の報告書です|さきごろの かいだんの ほうこくしょです|This is the report of the recent conference
否認|ひにん|Denial / Negation
風雨|ふうう|Wind and Rain
布張り|ぬのばり|Cloth-covered
親の顔が見たい|おやの かおが みたい|what parents would bring up a kid like this?, I'd like to see his (her) parents'
地面|じめん|Ground / Earth
効率|こうりつ|Efficient
彼からの返事を待ち兼ねています|かれからの へんじを ちまちかねています|I cannot wait for an answer from him
退職|たいしょく|To retire / quit work
今日は中庭で昼食を食べましょう|きょうは なかにわで ちゅうしょくを たべましょう|Shall we eat lunch in the courtyard today?
