水増し|みずまし|Dilution / Watering
牙|きば|Tusk / Fang
夕日|ゆうひ|Setting sun
私怨|しえん|personal grudge, personal enmity
死体遺棄|したいいき|Abandoning a corpse / Dumping a body
彼は常に公明正大だ|かれは つねに こうめいせいだいだ|He is always fair and upright [open and aboveboard] in his dealings
染みる|しみる|Soak into / Permeate
破落戸|ごろつき|Rogue / Thug / Hoodlum (Craig Bellamy!)
漁る|あさる|To look for / To fish for
最近は利己主義に走る人が増えるようだ|さいきんは りこしゅぎに はしる ひとが ふえるようだ|The number of self centered people is increasing these days
缶切り|かんきり|can opener
見つめる|みつめる|gaze (not 注視、眺める)
長老|ちょうろう|Eldest / Senior
契約の延長は、双方の同意によるものとする。|けいやくの えんちょうは そうほうの どういによるものとする|The extension of the contract must be agreed by both parties.
彼は機関銃を持って侵略者たちを寄せ付けなかった。|かれは きかんじゅうを もって しんりゃくしゃたちを せよせつけなかった|He kept the invaders at bay with a machine gun
このチームは素人の寄せ集めだ|このは しろうとの せよせあつめだ|This team is made up of amateurs
超音波|ちょうおんぱ|ultrasonic waves, ultrasound
ついに山頂に到達しました。|ついに さんちょうに とうたつしました|We finally reached the top of the mountain.
逆流|ぎゃくりゅう|Downstream / Current
それは不正だと見なされている|それは ふせいだと みなされている|That is considered being dishonest
著者|ちょしゃ|Author / writer
流入|りゅうにゅう|Influx
そのため、南朝の凋落と共に一族も没落した|そのため なんちょうの ちょうらくと ともに いちぞくも ぼつらくした|Therefore, when the Southern court fell so did the families
書館には各種の雑誌が揃っています。|しょ かんには かくしゅの ざっしが そろっています|There are various magazines in the library.
導出|どうしゅつ|Derivation (for types, ie the auto keyword)
難儀|なんぎ|Hardship / Suffering / Difficulty
功績|こうせき|Accomplishment / Achievement / Merit
谷底|たにそこ|Bottom of valley or ravine
廃校|はいこう|Closing of a school
拭く|ふく|To wipe / To dry
彼女に礼状を書きました|かのじょに れいじょうを かきました|I wrote a letter of thanks to her
発起人|ほっきにん|Originator / Proposer
オリンピックは閏年に開催されます|は うるうどしに かいさいされます|The Olympics take place every four years (every leap year?)
計測|けいそく|Measurement
たん瘤|たん こぶ|bump (e.g. on forehead), lump, protuberance, swelling
楽園|らくえん|Paradise / Heaven
くすぐる|くすぐる|To tickle
要点|ようてん|Main point (not 本題)
正午|しょうご|お昼の十二時
傭兵|ようへい|Mercenary (soldier)
父兄|ふけい|Parents / Legal guardians
有給|ゆうきゅう|Salaried / With pay
逃避|とうひ|Escape / evasion / flight
その事件の発端は何ですか|その じけんの ほったんは なにですか|How did the case start?
力説|りきせつ|emphasizing (a point, argument, etc.), stressing, insistence, arguing strongly (
悪循環|あくじゅんかん|Vicious Circle
梅雨時はじめじめする。|つゆどきはじめじめする|It is damp in the rainy season.
浴室|よくしつ|Bathroom
劇|げき|Drama / Play (iknow, single kanji)
既成事実|きせいじじつ|Accomplished fact / Established fact
買うチャンスは明日をおいてないかもしれない|かうは あしたをおいてないかもしれない|Tomorrow may be the last chance to buy their stuff
オニズカ先生に無理やりに襲われた|せんせいに むりやりに おそわれた|Onizuka sensei forced himself on me!
激突|げきとつ|Crash into / Clash
行く手を横切る|くゆくてを よこぎる|to cross one's path
掛け替えのない|けかけがえのない|Irreplaceable / Precious (Hermes!)
炙る|あぶる|To warm (ones hands over a fire) / To scortch / to toast / to grill
旧家|きゅうか|old family
引き出しの整頓には仕切りが便利です|きひきだしの せいとんには しきりが べんりです|Dividers are useful for keeping drawers tidy
半開き|はんびらき|Partly open (ie eyes)
法人税|ほうじんぜい|Corporation Tax
反動|はんどう|Reaction
引き金|きひきがね|Trigger
その陶磁器は特別な棚に陳列されていた。|その とうじきは とくべつな たなに ちんれつされていた|The china was displayed in a special cabinet
今年は米価が下がっています|ことしは べいかが さがっています|The price of rice has fallen this year
関所|せきしょ|Barrier / Checkpoint
水質|すいしつ|Water Quality
抑圧|よくあつ|Restraint / Oppression / Suppression
先述|せんじゅつ|Aforementioned
海馬|かいば|Hippocampus (part of the brain)
またしても金の無心|またしても のかねのむしん|Come for money again?
行動力|こうどうりょく|ability to take action; ability to take initiatives; energy; dynamism; drive
生産|せいさん|Production (of something, a product)
距離|きょり|Distance / Interval
人情|にんじょう|Human feelings / humanity
四角い|しかくい|Rectangular / Square
転んで頭にこぶができた|ころんで あたまにこぶができた|I fell down and bumped my head
かりそめにも偽りを言うな|かりそめにも いつわりを いうな|Never tell a lie!
十人十色|じゅうにんといろ|Different strokes for different folks / everyone has its own ideas / tastes / in
彼女にも全盛時代があった。|かのじょにも ぜんせいじだいがあった|She has seen better days
踊り狂う|おどり くるう|to dance in ecstasy
兵庫県|ひょうごけん|Hyougo-ken
燃え尽きる|えもえつきる|To burn out
映画の主題歌|えいがの しゅだいか|The theme song of a movie
事によると|ことによると|Depending on the circumstances
チョコレートを食べ過ぎてニキビができてしまった|を たべ すぎてができてしまった|I have pimples from eating too much chocolate
多数決|たすうけつ|Majority Decision
彼女の話はいつも横道にそれます|かのじょの はなしはいつも よこみちにそれます|She always wanders off topic when she talks
漬け|つけ|Being badly influenced by / Addicted to
任侠|にんきょう|Chivalry / Generosity / Helping the weak and fighting the strong!
それを聞いて安心の吐息をはいた。|それを きいて あんしんの といきをはいた|I sighed with relief to hear it.
以心伝心|いしんでんしん|telepathy; tacit understanding; thought transference; communion of mind with min
受け入れる|けうけいれる|To accept / accommodate
兵卒|へいそつ|Common soldier
彼は不純な動機で彼女に近付いた|かれは ふじゅんな どうきで かのじょに ちかづいた|He approached her with an ulterior motive
彼の成績は、私とは比べものにならないほどいい。|かれの せいせきは わたしとは くらべものにならないほどいい|His marks are way better than mine.
利口（な）|りこうな|Clever / Bright
生け捕り|けいけどり|Capturing something alive
診察前に脈拍を測った|しんさつ まえに みゃくはくを はかった|The pulse was taken before the examination
非社交的な|ひしゃこうてきな|Unsociable
制す|せいす|To control / To command&nbsp;
多面的|ためんてき|multifaceted, versatile
蒸気|じょうき|Steam / Vapour
バラバラにする|にする|To pull apart / break up (doubler)
彼は梃子でも動こうとしませんでした。|かれは てこでも うごこうとしませんでした|There was no budging him
ゆめゆめ (忘れてはいけませんよ)|ゆめゆめ わすれてはいけませんよ|Absolutely / Certaintly (will never forget)
一張羅|いっちょうら|Ones only good suit (or kimono)
風邪がひどくて、遊びに行くどころじゃない|かぜがひどくて あそびに いくどころじゃない|I have a bad cold so I can’t think about going out
対照させる|たいしょうさせる|To contrast
並|なみ|Ordinary / Average (one character)
そこら中|そこら じゅう|Everywhere / All over the place
波動|はどう|wave motion, undulation, surge
売買|ばいばい|売ることと買うこと
諸君|しょくん|Gentlemen! Ladies!
家具の埃をはたく|かぐの ほこりをはたく|To dust the furniture
だだっ広い|だだっ ぴろい|excessively spacious; unduly wide; sprawling
果たす　(二番目の意味）|はたす ばんめの いみ|accomplish, realize
開業|かいぎょう|Opening a business or practice
受刑者|じゅけいしゃ|prisoner; convict
無法地帯|むほうちたい|lawless area, lawless district
彼は日本社会に関して二つの問題を提起しました|かれは にほんしゃかいに かんして ふたつの もんだいを ていきしました|He raised two problems for Japanese society
診る|みる|examine (doctor)
彼らは密入国してきたらしい|かれらは みつにゅうこくしてきたらしい|They seem to have entered the country illegally
熱は下がったものの、まだ咳が止まらない。|ねつは さがったもののまだ せきが とまらない|Although fever went down, I still have a very bad cough. （ものの）
外堀|そとぼり|Outer moat (castle)
そのお祭りには毎年警官が動員される|そのお まつりには まいとし けいかんが どういんされる|The police are mobilized at the festival every year
興行収入|こうぎょうしゅうにゅう|Box office revenue
この鉛筆は尖っていますね。|この えんぴつは とがっていますね|This pencil is sharp.
蝙蝠|こうもり|Bat (flying monster)
生業|なりわい|Occupation / Livelihood / Calling
波状|はじょう|wavelike, in waves, undulation
金槌|かなづち|Hammer
原因究明|げんいんきゅうめい|Investigation to determine the cause of / tracing something back to its origin
しがみつく|しがみつく|To cling
肉片|にくへん|Piece (cut) of meat
可読性|かとくせい|Readability / Legibility
原本|げんぽん|the original; original copy; script
半睡|はんすい|half asleep
除去|じょきょ|Removal / Getting rid of
墜落|ついらく|Crash / Fall (like airplane _crash_ landing)
透明な|とうめいな|Transparent / Invisible
し直す|し なおす|To do over / To remake
ちんたら|ちんたら|Sluggishly
どうかこれに懲りずにまたいらして下さい|どうかこれに こりずにまたいらして ください|We'd love to have you over again. (lit., I hope you'll see fit to overlook our m
墜死|ついし|falling to one's death
離島|りとう|1. isolated island, outlying island2. leaving an island
洗面器|せんめんき|Washbowl
時限爆弾|じげんばくだん|Timebomb
彼女は真心をこめて彼にケーキを作ったよ。|かのじょは まごころをこめて かれにを つくったよ|She put her heart into baking him a cake.
竜|りゅう|Dragon
国益|こくえき|National interest
進数|しんすう|(number) base (eg base 2, base 10)
洋裁|ようさい|Western style dressmaking
日付変更線|ひずけへんこうせん|International date line
否定語|ひていご|Negative word - ie anything with ません
愛蔵|あいぞう|treasured, cherished
膝枕|ひざまくら|laying one's head in someone's lap
精選する|せいせんする|To choose carefully
人々を守るのが私の務めです。|ひとびとを まもるのが わたしの つとめです|It's my duty to defend people.
遠足に水筒を持っていきました|えんそくに すいとうを もっていきました|I took a flask on the excursion
入試|にゅうし|Entrance Examination
親は子供の将来を期待してやまないものだ。|おやは こどもの しょうらいを きたいしてやまないものだ|Parents always hold a strong continuing expectation for their childs future
三者三様|さんしゃさんよう|each of the three being different from the other two, each of the three having h
問うに落ちず語るに落ちる|とうに おちず かたるに おちる|to keep a secret when asked about it, but let it slip inadvertently when chattin
流出|りゅうしゅつ|Leak of (private information) / Outward flow / Discharge
今日を限りにタバコをやめるぞ|きょうを かぎりにをやめるぞ|Starting today, I'm going to stop smoking
急遽|きゅうきょ|Hurriedly / In a hurry
耳を澄ます|みみを すます|To listen carefully / To strain ones ears
牧場|ぼくじょう|Ranch / Stock Farm
頭が高い|あたまが たかい|Old usage for "Holding ones head high ・　Arrogant”
処刑する|しょけいする|To execute
姉の縁談がまとまりました|あねの えんだんがまとまりました|My older sister has gotten engaged
失踪者|しっそうしゃ|missing person; runaway
水分子|すいぶん こ|Water Molecule
小さな花々が川の土手一面に咲いた|ちいさな はなが かわの どて めんに さいた|Tiny blossoms have come out all over the river bank
聞き落とす|きき おとす|to fail to hear, to miss
大晦日|おおみそか|New years eve
傘下|さんか|Under the umbrella / under jurisidiction of / affiliated with
公的|こうてき|Public / Official
彼は今日はいやに馴れ馴れしい|かれは きょうはいやに れなれなれしい|He is uncomfortably over friendly today
摘み出す|つみ だす|1. to pick out (with the fingers); to pull out2. to throw out (e.g. of a bar); t
一貫性|いっかんせい|Unity / consistency
解熱|げねつ|Alleviation of fever
雲散霧消|うんさんむしょう|vanishing like mist
丁重（な）|ていちょうな|Polite / Civil / Chivalrous
化石|かせき|Fossil
中央線沿線に住む|ちゅうおうせん えんせんに すむ|People living along the Chuo line
放り出す|りほうりだす|To throw aside X
極限|きょくげん|Utmost limits
衰える|おとろえる|To decline / decay / weaken
画の間隔が等しくなるように書く|がの かんかくが ひとしくなるように かく|The beginning of all strokes should be arranged at almost equal intervals
類義語|るいぎご|Synonym
傷跡|きずあと|Scar
あの店で野菜の安売りをしていましたよ。|あの みせで やさいの やすうりをしていましたよ|Vegetables were on special at that store.
代入する|だいにゅうする|To substitute (think math problems)
仕事の合間に|しごとの あいまに|In spare moments from work (free time from work)
折角|せっかく|Kanji for&nbsp;せっかく
鼻腔|びこう|(びくう is used by medical professionals) the nasal cavity;
それは私たちの道徳的規範には受け入れられない。|それは わたしたちの どうとくてき きはんには けうけいれられない|It is not acceptable to our moral code
萎む|しぼむ|To wither / To fade away / To shrivel / To wilt (you can use this with a balloon
底|そこ|Bottom / Floor
大脳|だいのう|Cerebrum
依然|いぜん|still, as yet, as it has been
その都市には様々な人種が集まっているわ。|その としには さまざまな じんしゅが あつまっているわ|There are a lot of different ethnic groups in this city.
赤心をもって国家に尽くす|せきしんをもって こっかに つくす|to serve one's country with all one's heart
悪霊|あくりょう|evil spirit
富裕税|ふゆうぜい|Wealth tax
船体|せんたい|The hull / body of a ship
索具|さくぐ|rigging, gear, tackle
鏡像|きょう ぞう|reflection in a mirror; reflected image; mirror image
側面|そくめん|Side / Flank (iknow)
前もって|まえもって|In advance (not あらかじめ)
差出人|さしだしにん|Sender (of something)
一斉射撃|いっせいしゃげき|Volley firing / Broadside　（Firing together?)
差し控える|さし ひかえる|1. to be moderate in, to be temperate in, to not do too much of2. to refrain (fr
降格|こうかく|Demotion
心構え|こころがまえ|Preparedness / Readiness
遠心力|えんしんりょく|Centrifrugal force
達成|たっせい|attain, achieve　(収めるではない）
その土地は民間企業に売却されたんだ。|その とちは みんかんきぎょうに ばいきゃくされたんだ|The land was sold off to a private company.
矯正視力|きょうせいしりょく|Corrected eyesight
彼は株の仲買をしています|かれは かぶの なかがいをしています|He is a stockbroker
書き記す|きかきしるす|To write down / to record / to register
蜂起|ほうき|uprising; revolt
数秒の沈黙があった|すう びょうの ちんもくがあった|There were several seconds of silence
新聞は２党間の抗争を報じた。|しんぶんは とう かんの こうそうを ほうじた|The newspaper reported friction between the two parties
体積|たいせき|Capacity / Volume
あの小屋にはトカゲや虫がうようよしている|あの こやにはや むしがうようよしている|That hut is crawling with lizards and insects
結末|けつまつ|Ending / Conclusion
彼は話し方が明瞭ね。|かれは しはなしかたが めいりょうね|The way he talks is very clear.
広い平野が一面雪で真っ白でした。|ひろい へいやが めん ゆきで っまっしろでした|The vast plains were pure-white with the snow.
猛々しい|たけだけしい|Ferocious / Fierce
玉に瑕|にたまにきず|Flaw in the crystal / Fly in the ointment (one drawback?)
この報告書は字が汚いばかりか間違いがたくさんある|この ほうこくしょは じが きたないばかりか まちがいがたくさんある|Not only is the writing terrible in this report, but it contains too many mistak
産休|さんきゅう|Maternity leave
彼は買収されたらしいわ。|かれは ばいしゅうされたらしいわ|He was bribed, apparently.
今、野菜をゆでています。|いま やさいをゆでています|I'm boiling vegetables now.
分岐点|ぶんきてん|Junction / Crossroads / Division point / Parting of ways
彼は義理を大切にしています。|かれは ぎりを たいせつにしています|He values duty.
例外|れいがい|Exceptional / Abnormal
抜け出す|けぬけだす|To slip out / To sneak away / to break (out of a loop)
朝から悪寒がする|あさから おかんがする|I have been feeling chilly since this morning
不平不満|ふへいふまん|discontent and grumbling
当人は意外に平気なようね。|とうにんは いがいに へいきなようね|The person concerned seems to be unexpectedly cool.
枕は私の旅の必需品です|まくらは わたしの たびの ひつじゅひんです|A pillow is essential when I travel
行く手を遮る|くゆくてを さえぎる|to bar one's way―obstruct one's path
常連客|じょうれんきゃく|Regular customers / Regular patron
例外処理|れいがいしょり|exception handling
リュック||Rucksack
自由の女神|じゆうの めがみ|Statue of Liberty
執行|しっこう|Enforcement / Execution (of ones job)
移民|いみん|Immigrant / Emigrant
さぞ|さぞ|No doubt / must
どういうわけか、喉が渇いてならない。|どういうわけか のどが かわいてならない|For some reason I'm unbearably thirsty.
君が受かるのは、このランクの大学ぐらいのものだ。|きみが うかるのはこのの だいがくぐらいのものだ|You can only aim for the universities at this level
ともすると自分の苦労は誇張したくなる|ともすると じぶんの くろうは こちょうしたくなる|We are inclined to exaggerate our troubles
凍てつく|いてつく|to freeze
軽減|けいげん|Reduction / Relief
不透明|ふとうめい|Opaque
遣わす|つかわす|To send / To dispatch
おさらい|おさらい|To review, go over, 復習
甥|おい|Nephew
版権|はんけん|Copyright (not 著作権)
凍結する|とうけつする|To freeze / suspend (a program, salary, food)
警棒|けいぼう|Baton (to like hit people with!)
性交 ／ 性行為|せいこう せいこうい|Sexual intercourse
煮える|にえる|become boiled, become simmered
彼は家を担保にして借金した|かれは いえを たんぽにして しゃっきんした|He borrowed money using the house as security
疲れて肩が張っています。|つかれて かたが はっています|My shoulders are stiff with fatigue. (not 凝る)
負わせる|おわせる|To inflict injury on someone / To burden someone with something
賭場|とば|gambling den
積極的（な）|せっきょくてきな|Positive / Active / Aggressive
まじめどころではない、堅物です！|まじめどころではない かたぶつです|serious is not the word, she's totally uptight!
存分に|ぞんぶんに|To ones heart content / sufficiently (not 思い切り)
断続的|だんぞくてき|Intermittent
割に|わりに|comparatively, rather
埋葬|まいそう|Burial / To bury (someone!)
大所帯|おおじょたい|Large family
彼は他の社員たちに引け目を感じています|かれは たの しゃいんたちに けひけめを かんじています|He feels intimidated by other employees
内剛外柔|ないごうがいじゅう|Being gentle on the outside but tough on the inside / an iron hand in a velvet g
他県|た けん|Another prefecture
発症|はっしょう|Outbreak of an illness
不公平を正す|ふこうへいを ただす|To remedy injustice
外野|がいや|Outfield
主題|しゅだい|論文・研究などの主な問題
財政学|ざいせいがく|Finance (study)
物まね|ものまね|Impression / Imitation (for example, here is my michael jackson impression)
雇用流動性|こよう りゅうどうせい|Employment mobility
天賦|てんぷ|Natural talent / Natural gift / Endowment
運賃|うんちん|Fare / Payment - for transport usually, buses / trains etc
のぞくなよ。|のぞくなよ|no peeking
「白痴」はロシア大学の作品です|はくちは だいがくの さくひんです|"Idiot" is a work of Russian literature
流し読み|しながしよみ|Skimming (a book etc)
交尾|こうび|Copulation (in animals)
内情|ないじょう|internal conditions / true state of affairs
私兵|しへい|private army
誤認|ごにん|Misrecognition / Mistaking x for y
喫煙の弊害について考えてみましょう|きつえんの へいがいについて かんがえてみましょう|Lets consider the evils of smoking
代案|だいあん|alternate plan
勇姿|ゆうし|Gallant Figure
ダニ||A tick / mite
むける|むける|Come off / Peel
自問自答|じもんじとう|Answering ones own question / Wondering to oneself / Soliloquizing
冷水|れいすい|Cold water
嫁|よめ|Bride / Daughter in law (dragonball, not 新婦)
腎臓|じんぞう|Kidneys
得票　／　投票|とくひょう とうひょう|Vote / Poll&nbsp;&nbsp;/ Ballot
声色を使う|こわいろを つかう|To impersonate / imitate someones voice
彼は事業に失敗してやけになっている|かれは じぎょうに しっぱいしてやけになっている|He failed in business and is suicidal
突っ張る|っつっぱる|Be delinquent / Become taut / defiant
取り締まり|りとりしまり|Regulation / Crackdown
基調講演|きちょうこうえん|Keynote speech
驚くべき|おどろくべき|Astonishing / Amazing / Suprising / Wonderful
設営|せつえい|setting up (a structure, building, camp, etc.); construction; preparation (e.g. 
反日|はんにち|Anti Japanese
高利貸し|こうりがし|loansharking
根源的|こんげんてき|primordial, fundamental, basic, primitive
意気込む|いきごむ|To be enthusiastic about
原石|げんせき|unpolished gemstone /&nbsp;(raw) ore
大食い|おおぐい|binge eating; gluttony; (n) (2) big eater
瞳|ひとみ|Pupil / Eye (hunter hunter)
日焼けした顔|ひやけした かお|Suntanned face
一箇所|いっかしょ|One place / The same place
海里|かいり|nautical mile
後書き|あとがき|Postscript / afterword
成り行きに任せる|りなりゆきに まかせる|To let a matter take care of itself / To leave to take its own course
早晩|そうばん|Sooner or later / Eventually
山の空気は澄んでいますね。|やまの くうきは すんでいますね|The mountain air is clear.
まさかのときに備えて貯蓄せよ。|まさかのときに そなえて ちょちくせよ|Keep something for a rainy day.
この神社は有名な将軍を祭っている|この じんじゃは ゆうめいな しょうぐんを まつっている|A famous general is enshrined at this Shinto shrine
ねじ回し|ねじ まわし|Screwdriver
棚|たな|Shelf or Shelves, but also can mean "ledge"!
先入観|せんにゅうかん|Preconceptions / Prejudice / Preconceived notion
海外出張中は会社との連絡は主としてEメールを使う|かいがいしゅっちょう ちゅうは かいしゃとの れんらくは しゅとして を つかう|I usually use email to contact the company when I am on a business trip
君は目の付け所がいい.|きみは めの けつけどころがいい|I admire your taste
独断で|どくだんで|On ones own authority
哀れ|あわれ|Pitiful / Poor / Pathetic
首脳会談|しゅのうかいだん|Leadership conference / summit meeting
掛け声|けかけごえ|yell used to time or encourage activity
跡形もなく|あとかたもなく|Without leaving any trace
豊満に曲線のある女性|ほうまんに きょくせんのある じょせい|a voluptuously curved woman
岩|いわ|Rock
人間は理性を持つ動物です。|にんげんは りせいを もつ どうぶつです|Human beings are rational animals.
祭器|さいき|equipment used in rituals
何世帯？|なに せたい|How many families? (in the apartment block, say. How many rooms)
人材派遣|じんざいはけん|Temporary staff agency
大学で人文科学を専攻しました。|だいがくで じんぶんかがくを せんこうしました|I majored in humanities when I was in college.
市内を循環バスが走っています|しないを じゅんかんばすが はしっています|A circular bus route runs around the city
降りる駅で料金を精算して下さい。|おりる えきで りょうきんを せいさんして ください|Please adjust the fare at the station where you get off.
安っぽい|やすっぽい|cheap-looking, tacky
捧げ物|げささげもの|Offering / Sacrifice
内なる|うちなる|inner (self, voice, man, etc.); internal (conflict, tension, competition, etc.);
見覚え|みおぼえ|recognition, remembrance
思い知る|いおもいしる|To realize / Become aware of
その作家は短篇小説の分野で新しい境地を開いた|その さっかは たんぺんしょうせつの ぶんやで あたらしい きょうちを ひらいた|The author has opened up new territory [broken new ground] in the field of short
場合によりけりである|ばあいによりけりである|That depends
情熱|じょうねつ|Passion
前向き|まえむき|Facing forward / positive
いかなる|いかなる|どんな / any / every / all
神が人類を創造したと信じる人もいる|かみが じんるいを そうぞうしたと しんじる ひともいる|There are some who believe that god created the human race too
その本の表紙は色が褪せています|その ほんの ひょうしは いろが あせています|The colors on the cover of this book have faded
漬かる|つかる|To be immersed
広大（な）|こうだいな|Vast / Extensive / Immense
変電設備|へんでん せつび|transforming equipment, transformer
筆圧|ひつあつ|strength of a brushstroke
はかり|はかり|scales
大なり小なり|だいなり しょうなり|More or less / To a greater or lesser extent
かけ離れる|かけ はなれる|To be very far apart from / to be very different to
家名|かめい|1. family name; house name2. family honour; family honor
