看護|かんご|Nursing
彼は、自分の意志に反して契約書に署名させられた。|かれは じぶんの いしに はんして けいやくしょに しょめいさせられた|He was made to sign the contact against his will.
感謝|かんしゃ|Thanks / Appreciation
標準|ひょうじゅん|standard, norm (language?)
うちでは夫も炊事をします。|うちでは おっとも すいじをします|In my house, my husband also cooks.
新世代|しんせだい|New generation
イギリスの警察官は丸腰で巡回する|の けいさつかんは まるごしで じゅんかいする|The police officials do their rounds unarmed in Britain
特売|とくばい|Another word for &quot;sale&quot; or &quot;special&quot;
目の前を猫が横切ったんだ。|のめのまえを ねこが よこぎったんだ|The cat crossed in front of me.
彼の健康状態からしてスポーツは無理でしょう。|かれの けんこうじょうたいからしては むりでしょう|Judging from his physical condition doing sports would be unwise
宝箱|たからばこ|Treasure chest
予定通りだとすれば、飛行機は９時に着くはずだ|よていどおりだとすれば ひこうきは じに つくはずだ|Hyperthetically if it goes to plan, the place should arrive at 9 oclock
性能|せいのう|Performance / Capacity
彼女は夕食に天ぷらを揚げました。|かのじょは ゆうしょくに てんぷらを あげました|She fried some tempura for dinner.
高速道路は混んでたよ。|こうそくどうろは こんでたよ|There was a lot of traffic on the expressway.
五分の一|のごぶんのいち|１／５
