大分県|おおいた けん|Oita-ken
貧しい|まずしい|Poor / Destitute
泡立てたクリームに少量のブランデーを加えます。|あわだてたに しょうりょうのを くわえます|A small amount of brandy is added to the whipped cream.
追伸|ついしん|P.S.
既定に設定|きていに せってい|Set Default
残念無念|ざんねんむねん|deep regret; bitter disappointment; chagrin; vexation
最愛の|さいあいの|Beloved / Most loved (not 愛用)
Noun + に照らして|に てらして|in comparison with, according to, in light of, in view of
従姉妹|いとこ|Cousin (female)
赤ん坊は私の顔をみるやいなや、泣き出した。|んあかんぼうは わたしの かおをみるやいなや なき だした|The baby began to cry the moment she saw my face
疲れ果てる|つかれ はてる|to get tired out; to be exhausted
正月には餅を食べますよ。|しょうがつには もちを たべますよ|We eat rice cakes during the New Year.
