短刀|たんとう|Short sword / Dagger
水溜りを跨いだ|みずたまりを またいだ|I stepped over the puddle
表敬訪問|ひょうけいほうもん|Courtesy call
羽化|うか|Emergence (of insects) / growing wings and flying
若き日|きわかきひ|Younger days / Youth
国民はこぞってその英雄をたたえた|こくみんはこぞってその えいゆうをたたえた|The whole nation sang the praises of the hero
換言|かんげん|saying in other words, putting (something) another way
劣る|おとる|Inferior / Lesser
憧れる|あこがれる|To hanker / long for something / Yearn
応用 する|おうようする|To apply something (a recipe?)
甘酸っぱい|あまずっぱい|Sweet and sour
検問|けんもん|Inspection / Examination
色褪せる|いろあせる|To fade / to grow dull in colour / to grow stale
真珠貝|しんじゅがい|Mother of pearl / Pearl oyster
舐め回す|なめ まわす|to lick all over, to run one's tongue over
マグカップ||mug
解読する|かいどくする|To decode / decipher
相乗り|あいのり|Riding together
これはスポーツ施設用の器具です。|これは しせつ ようの きぐです|This is equipment for the sports facility.
すっぽり|すっぽり|Completely / 完全に
分かれ目|かれわかれめ|Fork / Junction / Parting of the ways / Turning point
～てやまない　Grammar|てやまない|Always continuing to hold the strong feeling
司法|しほう|Justice
名物|めいぶつ|Famous product / Special product / Speciality
手を抜く|てを ぬく|To easy up (on an opponent) / to cut corners / to be shoddy
通報|つうほう|Report / Bulletin / Message / Tip
誘発|ゆうはつ|to Cause / Induce / Lead up to
高音部記号|こうおんぶきごう|Treble clef
擬声語的表現については、ホピ語に興味深い例がある。|ぎせいご てき ひょうげんについては ほぴごに きょうみぶかい れいがある|As to onomatopoetic expressions, we find interesting examples in Hopi
剛健|ごうけん|Strong / Vigor / Health / Sturdiness
かりそめのことだ|かりそめのことだ|It is a trifling matter
きしょい|きしょい|gross; disgusting; sickening
北欧では社会保障が確立されています。|ほくおうでは しゃかいほしょうが かくりつされています|Social security has been established in Northern Europe.
派出所|はしゅつじょ|police box, police station (not 交番)
厳密に言えば、それらは同じ種類ではない。|げんみつに いえばそれらは おなじ しゅるいではない|Strictly speaking, they are not the same variety
斯様な|かような|in such a manner; like this
公明正大|こうめいせいだい|Fairness / Just and upright / Aboveboard
シュール||surreal
地方|ちほう|Region / District
竜頭蛇尾|りゅうとうだび|An anticlimax / Strong beginning and weak ending&nbsp;
特別委|とくべつい|Special committee
逆ギレ|ぎゃくぎれ|Being angry at someone who would normally be angry at you, situation wherein the
図抜ける|ずぬける|To tower above / to stand out
灰燼|かいじん|Ash / Embers / Complete destruction
よそ|よそ|Somewhere else
田植え|たうえ|Rice planting
尋問|じんもん|Cross-examination / Interrogation / Questioning
不可避|ふかひ|Inevitable
雨宿り|あまやどり|taking shelter from rain
悪相|あくそう|1. 恐ろしくて気味の悪い顔つき。醜い人相。2. 不吉な兆し。縁起の悪い現象。
仄暗い|ほの ぐらい|gloomy, obscure
屑|くず|Waste / Scraps
舎弟|しゃてい|Younger brother, underling (my boss my hero)
波打つ|なみうつ|Wave / Ripple
捻じ伏せる|ねじ ふせる|to hold down; to twist someone's armto force (someone) to yield (e.g. an argumen
混在|こんざい|existing alongside (each other), mixture, intermingling
婉曲|えんきょく|Euphemism
絶対値|ぜったいち|Absolute value (of a variable)
新規|しんき|New / Fresh / New rules or regulations
別れ道|れわかれみち|Branch / Forked road / Crossroads / Turning point
地元紙|じもとし|Local newspaper
濡れ衣|れぬれぎぬ|False accusations (not sure why, also wet clothes!)
霊峰|れいほう|sacred mountain
密造|みつぞう|illicit manufacturing, illicit distilling, moonshining
毛皮を税関で没収されたんだ。|けがわを ぜいかんで ぼっしゅうされたんだ|The fur was seized at customs.
強欲な|ごうよくな|Another word for greedy. "Im a greedy merchant"
彼は欲望が強い人です。|かれは よくぼうが つよい ひとです|He's a person with strong desires.
穴埋め|あなうめ|Filling in gaps / filling in blanks (ie in a form)
征途|せいと|(military or pleasure) expedition
