神殿|しんでん|Temple / Sacred place
縮約版|しゅくやく ばん|abridged edition, abridged version See also: 簡略版
無謀(な)|むぼうな|Reckless / Foolhardy / Mad
マッチを擦る|を こする|Strike a match
実行権|じっこうけん|Right to execute (file)
通行|つうこう|Traffic
伏兵|ふくへい|Troops in ambush
本質|ほんしつ|Essence / Real nature
彼女はほおを赤く染めたわ。|かのじょはほおを あかく そめたわ|Her cheeks flushed pink.
量が少ないだの不味いだの|りょうが すくないだの まずいだの|Portions are small, it tastes bad
隅|すみ|Corner / Nook (like kado)
下車|げしゃ|Get off / stopover
飼い猫|いかいねこ|Pet cat
動静|どうせい|Movements / State of affairs
民主|みんしゅ|Democracy
縞馬|しまうま|Zebra
補充|ほじゅう|To refill / replenish / supplement
彼は生まれながらにして偉大な才能に恵まれていた。|かれは うまれながらにして いだいな さいのうに めぐまれていた|He was endowed with great talents
社内で異動の発表があった|しゃないで いどうの はっぴょうがあった|The company reorganisation was announced
競争力|きょうそうりょく|Competitive power (in business, competitive prices etc)
先王|せんおう|The late king / The preceding king
水撒き|みずまき|Sprinkling / Watering (the cricket pitch)
全身にわたって発疹が出た。|ぜんしんにわたって はっしんが でた|I had a rash all ober my body.
起用|きよう|Appointment / Being used for a role (as a runner in cricket)
目に遭う|めに あう|To go through / To suffer / To experience (something unpleasant)
指向|しこう|Being orientated (towards) / Directional / Object ORIENTATED programming =)
言論|げんろん|Speech / Discussion
起債|きさい|Issuing of bonds
妻子持ち|さいしもち|Man with wife and kids
最近のミシンは自動で刺繍もできる|さいきんのは じどうで ししゅうもできる|Modern sewing machines can embroider automatically
私は彼の要望に応じました。|わたしは かれの ようぼうに おうじました|I responded to his demand.
慈善事業|じぜんじぎょう|Philanthropic work
対処法|たいしょほう|Coping method / how to approach problem
満載|まんさい|Fully loaded / Loaded condition
彼は国を平和に治めました|かれは くにを へいわに おさめました|He peacefully ruled the country
表題|ひょうだい|Heading / Title ＜H1&gt; &lt;H2&gt; etc ..
総称|そうしょう|General term
さしあたって|さしあたって|For the time being / For the moment
すべての人は生まれながらに平等である。|すべての ひとは うまれながらに びょうどうである|All men are created equal. &nbsp;
あの人はややもすれば悲観的になりがちだ|あの ひとはややもすれば ひかんてきになりがちだ|That person is inclined to be on the pessismistic side
追い詰める|いおいつめる|to corner; to drive to the wall; to run down; to track down; to chase after
好き勝手|きすきかって|Doing whatever one pleases / Doing whatever they want
的|てき|Mark / Target
最高潮|さいこうちょう|Climax
計り知れない|はかり しれない|unfathomable; inestimable; immeasurable
死体安置所|したいあんちじょ|morgue, mortuary
家計の収支が合わないの。|かけいの しゅうしが あわないの|The household income and expenses do not match.
引きずり込む|きずりひきずりこむ|To drag in / To pull in
彼の弁明も聞いてみましょう|かれの べんめいも きいてみましょう|Lets hear his excuse
閏年|うるうどし|Leap year
不評|ふひょう|Bad reputation / unpopular
彼はあえて危険を冒したの。|かれはあえて きけんを おかしたの|He dared to face danger.
前途有望な|ぜんとゆうぼうな|Promising / Coming (career, future)
この古い上着を仕立て直したい。|この ふるい うわぎを てしたてなおしたい|I want to have this old coat made over
溶解する|ようかいする|To dissolve
幸か不幸か|こうか ふこうか|For better or worse / For good or evil / Luckily of unluckily
痛快|つうかい|gratifying、enjoyable、pleasurable
好都合|こうつごう|Convenient / Favourable / Expedient (better being a nerd than not)
斥候|せっこう|Scout / Patrol / Spy
ゴロゴロする|する|To just lounge around and not do much
念入りな計画|ねんいりな けいかく|A well prepared plan
破線|はせん|Dotted line
年月|としつき|Time / Years
数限らない|かず かぎらない|Uncountable / Innumerable
懐|ふところ|Pocket / Purse / Handbag
空の青と相まって、紅葉がより美しく見える|そらの あおと あいまって こうようがより うつくしく みえる|The fall colours look more beautiful with the blue sky
落ち着きがなく,そそくさ動く|ちおちつきがなくそそくさ うごく|to do something hurriedly
