鈍痛|どんつう|dull pain
迎撃用ミサイル|げいげき よう|Missile interceptor (anti-missile missile)
野人|やじん|Barbarian / Rude person
話の要点だけ教えてください。|はなしの ようてんだけ おしえてください|Please tell me just the main points of the talk.
年寄り|としより|Older person
彼女の肌はすべすべしているね。|かのじょの はだはすべすべしているね|Her skin is smooth.
出席者は彼に質問を浴びせた|しゅっせきしゃは かれに しつもんを あびせた|The people present flooded him with questions
背負う|せおう|To be burdened with, carry on back or shoulder
彼には不思議な力が具わっている|かれには ふしぎな ちからが そなわっている|He has magical powers
小手返し|こてがえし|Aikido technique - bring down opponent by twisting arm away from body (my first 
昨日の見た映画は、平凡極まる内容だった。|きのうの みた えいがは へいぼん きわまる ないようだった|The movie I watched yesterday was simply uninspired (非常に平凡な)
彼はソファーで居眠りをしているよ。|かれはで いねむりをしているよ|He is dozing on the sofa.
日本語が上手になるまで、国に帰りません|にほんごが じょうずになるまで くにに かえりません|I will not go back to my country until I am fluent in Japanese
この池には鯉がうようよいる|この いけには こいがうようよいる|The pond abounds with carp
一条の光|じょうの ひかり|A ray of light
私も交ぜてください。|わたしも まぜてください|Please include me.
友達に唆されてタバコを吸ってしまった|ともだちに そそのかされてを すってしまった|Puersuaded by a friend I smoked a cigarette (incited by, instigated by)
見下ろす|みおろす|To look down / overlook
日用品|にちようひん|Groceries / Daily necessities
垂直線|すいちょくせん|Vertical line
上下|じょうか|Ups and downs
寿司の出前を頼んだよ。|すしの でまえを たのんだよ|We ordered some sushi by delivery.
思い悩む|いおもいなやむ|To worry
一軒|けん|one (house, shop)
しょうゆを一滴加える|しょうゆを いってき くわえる|Add a drop of soy sauce
自慢話|じまんばなし|Boastful speech / Bragging [story]
休火山|きゅうかざん|Dormant volcano
避ける|さける|To avoid something
揉め事|めもめごと|Quarrel / Trouble / Dispute / Friction (between people)
飛ばし携帯|とばし けいたい|burner phone; throwaway mobile phone commonly used to conduct illegal activities
怪死|かいし|mysterious death
ここはお客様用の控え室です。|ここはお きゃくさま ようの えひかえしつです|This is a waiting room for guests.
いつまでも|いつまでも|Forever
利益|りえき|Return / Take / Profit
今日は学校で行事がありました。|きょうは がっこうで ぎょうじがありました|There was an event at school today.
今回のテストは割合に簡単でした。|こんかいのは わりあいに かんたんでした|This test was relatively easy.
過去形|かこけい|Past tense / Past form
彼女は近眼です。|かのじょは きんがんです|She is nearsighted.
本日の営業は午後7時をもって終了いたします。|ほんじつの えいぎょうは ごご  じをもって しゅうりょういたします|The store will close today at seven o'clock.
秋は行楽にいい季節ですね。|あきは こうらくにいい きせつですね|Autumn is a good season for excursions.
彼は病気で弱っているんだ。|かれは びょうきで よわっているんだ|He has been getting weaker due to his illness.
既得権益|きとくけんえき|vested interests
追い詰める|いおいつめる|To corner / To drive to the wall / To run down / To track down
依頼|いらい|Request / Commission
この荷の目方は70キロってとこかね。|この にの めかたは ってとこかね|I guess the weight of this load is about 70 kilograms.
抜け目|けぬけめ|A Flaw / Oversight
全国紙|ぜんこくし|National newspaper
皮膚病|ひふびょう|Skin disease
現職|げんしょく|Present job
聞くが早いか、あいつは飛び出していった。|きくが はやいかあいつは びとびだしていった|As soon as he heard, he flew over
科学的な見地から考えてみましょう|かがくてきな けんちから かんがえてみましょう|Lets think from a scientific viewpoint
利口|りこう|clever, smart
号令|ごうれい|大勢に大声で指図すること
記憶媒体|きおくばいたい|Storage medium
自分を名乗る場合|じぶんを なのる ばあい|"When giving your own name"
魚の骨がのどに引っ掛かった。|さかなの ほねがのどに っひっかかった|A fish bone got caught in my throat.
子供は好奇心でいっぱいだね。|こどもは こうきしんでいっぱいだね|Children are full of curiosity.
喧嘩を売る|けんかを うる|To pick a fight
山梨県|やまなしけん|Yamanashi-ken
十全|じゅうぜん|perfection; thoroughness; consummation
コンピュータの内部詳細|の ないぶしょうさい|Computer internals
汲む|くむ|To collect / scoop up
利点|りてん|Advantage / Strong point
食糧不足が彼らをひどく空腹にした。|しょくりょうふそくが かれらをひどく くうふくにした|Lack of food made them very hungry
休む時は前もって連絡ください。|やすむ ときは まえもって れんらくください|If you're going to take time off, please give me advance notice.
放映権|ほうえいけん|Televising rights / Broadcasting rights
面接官|めんせつかん|Interviewer (for job, school etc)
私は中立の立場を取っています。|わたしは ちゅうりつの たちばを とっています|I'm taking a neutral standpoint.
フェラ||Fellatio
革張りのソファにするか？布張りのソファにするか？|かわばりのにするか ぬのばりのにするか|Shall we go for a leather-covered sofa? A cloth-covered sofa?
曲折|きょくせつ|Twist and turns
生もの|なまもの|Raw food
真っ二つに|っまっぷたつに|Right in half (breaks her fan)
木を見て森を見ず|きを みて もりを みず|To not see the woods for the trees (meaning, missing the big picture, getting ca
木を揺する|きを ゆする|To shake a tree
下火になる|したびになる|To be under control / To die down / To wane
破綻寸前|はたん すんぜん|Verge of bankruptcy
その将軍は退役後ひっそり余生を送った。|その しょうぐんは たいえき ごひっそり よせいを おくった|The general lived the rest of his life peacefully after his retirement
ケーキは買うまいと思っても、見るとつい買ってしまう|は かうまいと おもっても みるとつい かってしまう|Even if I think I wont buy a cake, as soon as I see it I will
正式な招待状を受け取りました。|せいしきな しょうたいじょうを けうけとりました|I received a formal invitation.
もうすぐじゃがいもが煮えます。|もうすぐじゃがいもが にえます|The potato will be cooked soon.
埋め尽くす|うめ つくす|To fill completely / bury completely
借地|しゃくち|Leased land
貴方方|あなたがた|You (plural) (when you want to sound flagrantly flattering)
彼とはなかなか落ち着いて話をする折がない。|かれとはなかなか ちおちついて はなしをする おりがない|I can hardly find a good time to talk leisurely with him.
相反|そうはん|inversion; opposition; conflicting; repulsion; contradiction
保つ|たもつ|To keep / hold / maintain / retain
彼は壁に耳を押しあてた。|かれは かべに みみを おしあてた|He pressed his ear against the wall.
そんなことをしたら、かえってよくないよ。|そんなことをしたらかえってよくないよ|If you do something like that, it will instead have adverse results.
増訂版|ぞうていばん|enlarged and revised edition
天の川|のあまのがわ|Milky way
ここに去年の所得をご記入ください。|ここに きょねんの しょとくをご きにゅうください|Please fill in last year's income here.
年配の人に席を譲りました。|ねんぱいの ひとに せきを ゆずりました|I gave up my seat to an elderly person.
連続性|れんぞくせい|Continuity
乳製品|にゅうせいひん|Dairy products
コミュ障|しょう|being bad at communication, being unsociable
その病気は原因不明と言われているんだよ。|その びょうきは げんいんふめいと いわれているんだよ|The cause of this illness is said to be unknown.
この車を今買うとお得ですよ。|この くるまを いま かうとお とくですよ|There's a special offer on this car if you buy it now.
