孤児院|こじいん|Orphanage
木の葉がひらひらと落ちたの。|のこのはがひらひらと おちたの|A leaf fluttered down.
日向にあまりながくいてはいけません。|ひなたにあまりながくいてはいけません|Don't stay in the sun too long
残像|ざんぞう|After image / iconic memory
一通り|ひととおり|Briefly / Once over
用足し|ようたし|Business / Errand
巨悪|きょあく|1. great evil2. scum of the earth, monster, fiend
初対面|しょたいめん|First meeting / First interview
親不孝|おやふこう|Disrespect to ones parents
ローター||Some weird sex toy for girls oO
選挙権|せんきょけん|Right to vote
前哨|ぜんしょう|Outpost (military place)
蛍|ほたる|Firefly
足跡 - そくせき|あしあとそくせき|Footprint
町角にカフェがありました。|まちかどにがありました|There was a cafe on the street corner.
全壊|ぜんかい|Total collapse
仰向け|あおむけ|Face up
青が赤に肉薄した|あおが あかに にくはくした|The Green ran the Red hard―ran the Red close
おまけ|おまけ|Free gift (not&nbsp;&nbsp;景品, this is from iknow)
月に一度母から便りが来ます。|つきに ど ははから たよりが きます|I get a letter from my mother once a month.
損害賠償|そんがいばいしょう|Compensation for damages / Restitution
腑に落ちない|ふに おちない|Cannot understand / Doesnt make sense
皆さんの支援あっての成功だ。|みなさんの しえんあっての せいこうだ|My success is because of everyone's support
技能|ぎのう|Technical skill
寄せ集め|せよせあつめ|Mixture / Odds and ends
面目|めんぼく|Honour
母はひろしの夜具をぐいと引き剥がした。|はははひろしの やぐをぐいと ひき はがした|Mother yanked the bedclothes off Hiroshi
博覧会|はくらんかい|Exhibition / Fair
このテレビは省スペースが売り物です|このは しょうすぺーすが りうりものです|This televisions selling point is its compact size
脇役に甘んじる|わきやくに あまんじる|rest content with a supporting role [taking a back seat, staying in the shadows]
柔軟性|じゅうなんせい|Flexibility
参議院|さんぎいん|House of councilors / Upper house
清涼|せいりょう|Cool / Refreshing
彼は人々を宗教により迫害しました。|かれは ひとびとを しゅうきょうにより はくがいしました|He persecuted people for their religion
信徒|しんと|Layman / Believer / Adherent / Follower
前例|ぜんれい|Precedent (ie precedent for politic thing to change something)
一撃|いちげき|Blow / Hit&nbsp;
熱弁|ねつべん|Fervent speech
結核|けっかく|Tuberculosis
公園の鳩にえさをやったの。|こうえんの はとにえさをやったの|I fed the pigeons in the park.
推奨|すいしょう|Recommendation / Endorsement
克明|こくめい|Detailed / Elaborate&nbsp;
社債|しゃさい|Corporate Bond
撫で下ろす|なで おろす|To stroke down
今発声を基礎から勉強しています|こん はっせいを きそから べんきょうしています|I am studying the basics of sound production now
万有|ばんゆう|all things; all creation; universal
匙|さじ|Spoon
評論家が映画の見所を紹介した|ひょうろんかが えいがの みどころを しょうかいした|The critic introduced the highlights of the movie
グラウンド||sports ground, sports oval
売国奴|ばいこくど|traitor (to one's country)
大企業|だいきぎょう|Large company / Enterprise
ダチ公|だちこう|buddy; friend
彼の話し方にはどこか強引なものがあった。|かれの しはなしかたにはどこか ごういんなものがあった|There was a feeling of pushiness, somewhere in his talking.
活発|かっぱつ|Lively / Active
参加者の人数を教えてください。|さんかしゃの にんずうを おしえてください|Please tell me the number of participants.
押収|おうしゅう|Seizure / Confiscation
興奮気味|こうふんぎみ|Being somewhat excited (about the Dars reply)
譲渡人|じょうとにん|transferor, assignor
白紙|はくし|Blank Paper
峰からの景色は最高です|みねからの けしきは さいこうです|The view from the peak is fantastic
いじめっ子|いじめっ こ|Bully
駆け寄る|けかけよる|To rush over / To run up to
大臣ともなると、自由に行動できない。|だいじんともなると じゆうに こうどうできない|Once you become a minister in a cabinet you lose your freedom.
彼は日本に１０年住んだ後帰化することにした|かれは にっぽんに ねん すんだ のち きかすることにした|He decided to become a naturalized citizen after living in Japan for 10 years
機知|きち|wit; resources; tact
優勝できて、感激の極みです。|ゆうしょうできて かんげきの きわみです|I cant tell you how delighted I am that weve won the championship (最高に感激している)
回り道|りまわりみち|detour
清い|きよい|Clean / Pure
増減する|ぞうげんする|To fluctuate
帯びる|おびる|Usually "to wear" a sword or something, but also "to have a trace of" "to be tin
価値|かち|Worth / Value / Merit
そのうち|そのうち|before long, sooner or later
婦女|ふじょ|Woman / The fair sex
絶縁|ぜつえん|Breaking off relations / disconnection / also electrical insulation
殊に|ことに|Especially / Exceptionally
父は朝から書斎にこもっています|ちちは あさから しょさいにこもっています|Father has shut himself up in the study since the morning
首相は新しい閣僚を任命した|しゅしょうは あたらしい かくりょうを にんめいした|The Prime Minister appointed new cabinet ministers
どうたらこうたら|どうたらこうたら|something-something (e.g. platitudes, waffling), yada yada, so-and-so
修正|しゅうせい|Modification / Correction / Amendment
所々|ところどころ|here and there, at places
お付き|お つき|Attendant / Escort
シカト||ignoring (somebody); ostracizing; leaving (someone) out
苦心|くしん|Pains / Efforts
復党|ふくとう|Rejoining a political party
検察側の証人を呼んでください|けんさつがわの しょうにんを よんでください|Please call the witness for the prosecution
最近彼の態度が軟化してきた|さいきん かれの たいどが なんかしてきた|His attitude has softened recently
触れ回る|れふれまわる|To cry about /　To broadcast
結婚式に出席するなら、それなりの服装をするべきだ|けっこんしきに しゅっせきするならそれなりの ふくそうをするべきだ|If you attend the wedding, you should dress up for the occasion
壁にぶち当たる|かべにぶち あたる|To slam into a wall
