先着順|せんちゃくじゅん|Order of arrival
お金がないなら私が立て替えておきます。|お かねがないなら わたしが てたてかえておきます|I'll pay for you for the time being if you have no money.
交通整理|こうつうせいり|Traffic control
弁解|べんかい|Excuse / Justification
級友|きゅうゆう|Classmate
味付け|あじつけ|Season / Flavour / Sauce
出どころ|でどころ|origin; source; authority
幼児虐待|ようじぎゃくたい|child abuse
福井県|ふくいけん|Fukui-ken
戦争中米国は英国との交易を中断しようとした。|せんそう ちゅう べいこくは えいこくとの こうえきを ちゅうだんしようとした|During the war, America tried to stop trading with England
忍び合う|しのび あう|To meet secretly
税率|ぜいりつ|Tax Rate
矛盾|むじゅん|Contradiction
欧米並みに|おうべいなみに|As in Europe and America...
国際的批判直面して捕鯨をやめた国がいくつかある。|こくさいてき ひはん ちょくめんして ほげいをやめた くにがいくつかある|Some countries have stopped whaling in the face of international criticism
延べ１０万人が会場を訪れました|のべ まん にんが かいじょうを おとずれました|A total of 100,000 people visited the hall
ちょっと知らせてくれたらいいものを。。|ちょっと しらせてくれたらいいものを|Why didnt they tell me that? (知らせてくれたらいいのに、なぜ。。)
私は木造の家屋が好きです。|わたしは もくぞうの かおくが すきです|I like houses built of wood.
赤ん坊が揺りかごで寝ています|んあかんぼうが ゆりかごで ねています|The baby is sleeping in the cradle
彼はそんなことをやりかねない。|かれはそんなことをやりかねない|He is capable of doing such a thing.
